recording_id,subject_id,condition,action_code,feature_rows,raw_emg_shape,raw_imu_shape,source_action_file
S01_Dynamic_HO_cell01,1,Dynamic,HO,675,84672x16,6272x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\Dynamic\HO.mat
S01_Dynamic_RT_cell02,1,Dynamic,RT,675,86184x16,6296x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\Dynamic\RT.mat
S01_Dynamic_ET_cell03,1,Dynamic,ET,675,84483x16,6258x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\Dynamic\ET.mat
S01_Dynamic_PN_cell04,1,Dynamic,PN,675,84537x16,6264x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\Dynamic\PN.mat
S01_Dynamic_SN_cell05,1,Dynamic,SN,675,84996x16,6296x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\Dynamic\SN.mat
S01_Dynamic_HC_cell06,1,Dynamic,HC,675,84618x16,6266x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\Dynamic\HC.mat
S01_Dynamic_FL_cell07,1,Dynamic,FL,675,85266x16,6318x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\Dynamic\FL.mat
S01_P0_PN_cell01,1,P0,PN,584,84537x16,6264x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P0\PN.mat
S01_P0_FL_cell02,1,P0,FL,584,84861x16,6286x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P0\FL.mat
S01_P0_RT_cell03,1,P0,RT,584,84213x16,6238x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P0\RT.mat
S01_P0_SN_cell04,1,P0,SN,584,83754x16,6202x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P0\SN.mat
S01_P0_HO_cell05,1,P0,HO,584,85158x16,6308x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P0\HO.mat
S01_P0_HC_cell06,1,P0,HC,584,84024x16,6224x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P0\HC.mat
S01_P0_ET_cell07,1,P0,ET,584,84294x16,6242x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P0\ET.mat
S01_P1_ET_cell01,1,P1,ET,725,85077x16,6302x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P1\ET.mat
S01_P1_RT_cell02,1,P1,RT,725,85671x16,6342x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P1\RT.mat
S01_P1_HO_cell03,1,P1,HO,725,84456x16,6252x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P1\HO.mat
S01_P1_PN_cell04,1,P1,PN,725,84429x16,6254x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P1\PN.mat
S01_P1_HC_cell05,1,P1,HC,725,85320x16,6318x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P1\HC.mat
S01_P1_FL_cell06,1,P1,FL,725,85239x16,6314x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P1\FL.mat
S01_P1_SN_cell07,1,P1,SN,725,84888x16,6284x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P1\SN.mat
S01_P2_HC_cell01,1,P2,HC,700,85536x16,6336x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P2\HC.mat
S01_P2_FL_cell02,1,P2,FL,700,85914x16,6366x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P2\FL.mat
S01_P2_RT_cell03,1,P2,RT,700,85968x16,6370x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P2\RT.mat
S01_P2_SN_cell04,1,P2,SN,700,84834x16,6280x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P2\SN.mat
S01_P2_HO_cell05,1,P2,HO,700,84726x16,6274x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P2\HO.mat
