subject_id,fold_id,fold_index,selected_candidate,candidate_level,condition,recording_id,true_label_id,true_action_code,true_action_name,pred_label_id,pred_action_code,pred_action_name,sample_count,aggregation_method,prob_ET,prob_FL,prob_HC,prob_HO,prob_PN,prob_RT,prob_SN
1,stratified_S01_fold01,1,recording_raw_knn1_k80,recording,Dynamic,S01_Dynamic_ET_cell03,0,ET,wrist extension,0,ET,wrist extension,675,recording_direct,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,stratified_S01_fold01,1,recording_raw_knn1_k80,recording,Dynamic,S01_Dynamic_PN_cell04,4,PN,forearm pronation,4,PN,forearm pronation,675,recording_direct,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,stratified_S01_fold01,1,recording_raw_knn1_k80,recording,P0,S01_P0_FL_cell02,1,FL,wrist flexion,1,FL,wrist flexion,584,recording_direct,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,stratified_S01_fold01,1,recording_raw_knn1_k80,recording,P0,S01_P0_RT_cell03,5,RT,rest,5,RT,rest,584,recording_direct,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,stratified_S01_fold01,1,recording_raw_knn1_k80,recording,P1,S01_P1_HC_cell05,2,HC,hand close,2,HC,hand close,725,recording_direct,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,stratified_S01_fold01,1,recording_raw_knn1_k80,recording,P1,S01_P1_SN_cell07,6,SN,forearm supination,6,SN,forearm supination,725,recording_direct,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,stratified_S01_fold01,1,recording_raw_knn1_k80,recording,P2,S01_P2_HO_cell05,3,HO,hand open,3,HO,hand open,700,recording_direct,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,stratified_S01_fold02,2,recording_raw_rbf_k80,recording,Dynamic,S01_Dynamic_HO_cell01,3,HO,hand open,3,HO,hand open,675,recording_direct,0.07973988810114134,0.15927508968027437,0.15680126042647136,0.34178085140223485,0.09229549591796736,0.07689405378443982,0.09321336068747092
1,stratified_S01_fold02,2,recording_raw_rbf_k80,recording,P0,S01_P0_PN_cell01,4,PN,forearm pronation,4,PN,forearm pronation,584,recording_direct,0.08187568243265522,0.07183010677734307,0.140926386394983,0.06969807141838265,0.3421220752150841,0.08567419495613451,0.20787348280541737
1,stratified_S01_fold02,2,recording_raw_rbf_k80,recording,P0,S01_P0_ET_cell07,0,ET,wrist extension,0,ET,wrist extension,584,recording_direct,0.3815412269734009,0.09845507873687465,0.11293852426178547,0.10652673480392427,0.09027411171102702,0.0937319796543265,0.11653234385866125
1,stratified_S01_fold02,2,recording_raw_rbf_k80,recording,P1,S01_P1_RT_cell02,5,RT,rest,5,RT,rest,725,recording_direct,0.07844707424326255,0.07512785950394445,0.07384610280315333,0.08156528288465736,0.093340970576426,0.41875046257490856,0.1789222474136477
