recording_index,recording_id,subject_id,gesture_id,class_id,trial_id,source_file,mat_file,native_time_points,frames_extracted
0,S01_G01_T01,1,1,0,1,data_public\capgmyo_dba\dba-s1.zip,001-001-001.mat,1000,64
1,S01_G01_T02,1,1,0,2,data_public\capgmyo_dba\dba-s1.zip,001-001-002.mat,1000,64
2,S01_G01_T03,1,1,0,3,data_public\capgmyo_dba\dba-s1.zip,001-001-003.mat,1000,64
3,S01_G01_T04,1,1,0,4,data_public\capgmyo_dba\dba-s1.zip,001-001-004.mat,1000,64
4,S01_G01_T05,1,1,0,5,data_public\capgmyo_dba\dba-s1.zip,001-001-005.mat,1000,64
5,S01_G01_T06,1,1,0,6,data_public\capgmyo_dba\dba-s1.zip,001-001-006.mat,1000,64
6,S01_G01_T07,1,1,0,7,data_public\capgmyo_dba\dba-s1.zip,001-001-007.mat,1000,64
7,S01_G01_T08,1,1,0,8,data_public\capgmyo_dba\dba-s1.zip,001-001-008.mat,1000,64
8,S01_G01_T09,1,1,0,9,data_public\capgmyo_dba\dba-s1.zip,001-001-009.mat,1000,64
9,S01_G01_T10,1,1,0,10,data_public\capgmyo_dba\dba-s1.zip,001-001-010.mat,1000,64
10,S01_G02_T01,1,2,1,1,data_public\capgmyo_dba\dba-s1.zip,001-002-001.mat,1000,64
11,S01_G02_T02,1,2,1,2,data_public\capgmyo_dba\dba-s1.zip,001-002-002.mat,1000,64
12,S01_G02_T03,1,2,1,3,data_public\capgmyo_dba\dba-s1.zip,001-002-003.mat,1000,64
13,S01_G02_T04,1,2,1,4,data_public\capgmyo_dba\dba-s1.zip,001-002-004.mat,1000,64
14,S01_G02_T05,1,2,1,5,data_public\capgmyo_dba\dba-s1.zip,001-002-005.mat,1000,64
15,S01_G02_T06,1,2,1,6,data_public\capgmyo_dba\dba-s1.zip,001-002-006.mat,1000,64
16,S01_G02_T07,1,2,1,7,data_public\capgmyo_dba\dba-s1.zip,001-002-007.mat,1000,64
17,S01_G02_T08,1,2,1,8,data_public\capgmyo_dba\dba-s1.zip,001-002-008.mat,1000,64
