dataset_name,fold_id,split_unit,split_value,split
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,6,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,7,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,8,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,9,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,10,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,4,validation
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,5,validation
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,1,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,2,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,trial_id,3,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,1,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,2,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,3,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,9,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,10,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,7,validation
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,8,validation
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,4,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,5,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,trial_id,6,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,3,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,4,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,5,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,6,train
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,1,validation
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,2,validation
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,7,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,8,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,9,test
CapgMyo_DBa_full_spatial,capgmyo_trial_fold3,trial_id,10,test
