subject_id,fold_id,model_type,feature_dim,train_validation_window_count,test_window_count,param_count_estimate,support_vectors_or_trees,final_fit_seconds
1,S01_personal_fold01,ShrinkageLDA,1386,1935,140,6930,,6.862362399999256
1,S01_personal_fold02,ShrinkageLDA,198,1602,115,990,,0.10105879999900935
1,S01_personal_fold03,RBF-SVM,792,1602,115,,770,5.028555900000356
1,S01_personal_fold04,ShrinkageLDA,198,3908,285,990,,0.19229689999883703
1,S01_personal_fold05,RandomForest,1386,1300,95,,80,1.672732900000483
1,S01_personal_fold06,RBF-SVM,198,1300,95,,464,0.6106424999998126
1,S01_personal_fold07,ShrinkageLDA,198,1935,140,990,,0.09594140000081097
1,S01_personal_fold08,ShrinkageLDA,198,1330,1460,990,,0.08419510000021546
2,S02_personal_fold01,ShrinkageLDA,198,1413,95,990,,0.092573200001425
2,S02_personal_fold02,ShrinkageLDA,1386,1051,70,6930,,5.676897200000894
2,S02_personal_fold03,ShrinkageLDA,1386,1051,70,6930,,5.631860399998914
2,S02_personal_fold04,ShrinkageLDA,198,1743,115,990,,0.10589600000093924
2,S02_personal_fold05,ShrinkageLDA,198,1413,95,990,,0.08010399999875517
2,S02_personal_fold06,ShrinkageLDA,198,2104,140,990,,0.13721670000086306
2,S02_personal_fold07,ShrinkageLDA,792,2826,190,3960,,2.459038300001339
2,S02_personal_fold08,ShrinkageLDA,792,665,843,3960,,1.0835465000000113
3,S03_personal_fold01,ShrinkageLDA,198,931,70,990,,0.0709231999990152
3,S03_personal_fold02,ShrinkageLDA,1386,1252,95,6930,,5.973793199998909
3,S03_personal_fold03,ShrinkageLDA,198,931,70,990,,0.0602736000000732
3,S03_personal_fold04,ShrinkageLDA,198,1544,115,990,,0.108423199999379
3,S03_personal_fold05,ShrinkageLDA,198,931,70,990,,0.07596029999876919
3,S03_personal_fold06,ShrinkageLDA,198,931,70,990,,0.07712700000047334
3,S03_personal_fold07,LogisticRegression,198,6310,480,990,,1.816668399998889
3,S03_personal_fold08,ShrinkageLDA,198,490,511,990,,0.047275599999920814
4,S04_personal_fold01,ShrinkageLDA,198,1044,70,990,,0.056319600000279024
4,S04_personal_fold02,ShrinkageLDA,792,1730,115,3960,,1.5782046999993327
4,S04_personal_fold03,RandomForest,198,7060,480,,80,3.8343469999999797
4,S04_personal_fold04,ShrinkageLDA,1386,2089,140,6930,,7.435415699997975
4,S04_personal_fold05,ShrinkageLDA,198,1730,115,990,,0.106903500000044
4,S04_personal_fold06,ShrinkageLDA,1386,1401,95,6930,,5.894206299999496
4,S04_personal_fold07,ShrinkageLDA,198,5655,385,990,,0.3171397000005527
4,S04_personal_fold08,ShrinkageLDA,792,490,624,3960,,0.8385555999993812
5,S05_personal_fold01,ShrinkageLDA,792,4295,285,3960,,2.8374832999979844
5,S05_personal_fold02,ShrinkageLDA,1386,2856,190,6930,,8.538264700000582
5,S05_personal_fold03,ShrinkageLDA,198,5757,385,990,,0.2263094000009005
5,S05_personal_fold04,ShrinkageLDA,792,4295,285,3960,,2.8265108999985387
5,S05_personal_fold05,ShrinkageLDA,198,1062,70,990,,0.059048300001450116
5,S05_personal_fold06,ShrinkageLDA,1386,1062,70,6930,,4.708172700000432
5,S05_personal_fold07,ShrinkageLDA,198,1426,95,990,,0.07905609999943408
