selection_stage,subject_id,fold_id,fold_index,candidate_id,window_config_id,window_length_sec,window_length,step_samples,trim_config_id,trim_start_fraction,trim_end_fraction,modality,channel_count,model_type,feature_dim,train_window_count,validation_window_count,fit_eval_seconds,status,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_precision,val_window_macro_recall,val_window_macro_f1,val_segment_accuracy,val_segment_balanced_accuracy,val_segment_macro_precision,val_segment_macro_recall,val_segment_macro_f1
feature_screen_with_shrinkage_lda,1,S01_personal_fold01,1,win0p25s_50ov__full_segment__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,6065,480,0.3288707000010618,success,0.8270833333333333,0.8270833333333332,0.8309985958371691,0.8270833333333332,0.8228400664703488,1.0,1.0,1.0,1.0,1.0
feature_screen_with_shrinkage_lda,1,S01_personal_fold02,2,win0p25s_50ov__full_segment__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,6065,480,0.3101263000007748,success,0.7854166666666667,0.7854166666666667,0.7910031345683708,0.7854166666666667,0.7655581219533063,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold03,3,win0p25s_50ov__full_segment__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,6065,480,0.30187759999898844,success,0.7541666666666667,0.7541666666666667,0.8859236820247227,0.7541666666666667,0.6999473211675906,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold04,4,win0p25s_50ov__full_segment__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,6065,480,0.2882028999993054,success,0.8479166666666667,0.8479166666666667,0.8920633039722979,0.8479166666666667,0.8263497770815761,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold05,5,win0p25s_50ov__full_segment__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,6065,480,0.3408316000004561,success,0.8104166666666667,0.8104166666666668,0.832294930875576,0.8104166666666668,0.786101340167981,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold06,6,win0p25s_50ov__full_segment__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,6065,480,0.3339928000004875,success,0.9520833333333333,0.9520833333333334,0.951904934932106,0.9520833333333334,0.9517449607942856,1.0,1.0,1.0,1.0,1.0
feature_screen_with_shrinkage_lda,1,S01_personal_fold07,7,win0p25s_50ov__full_segment__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,2880,3665,0.13364580000052229,success,0.6316507503410641,0.6414865243131453,0.7617585426336356,0.6414865243131453,0.6285870736224091,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold08,8,win0p25s_50ov__full_segment__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,2880,480,0.13910370000121475,success,0.9833333333333333,0.9833333333333332,0.9832853886235344,0.9833333333333332,0.9832670916983179,1.0,1.0,1.0,1.0,1.0
feature_screen_with_shrinkage_lda,1,S01_personal_fold01,1,win0p25s_50ov__full_segment__EMG_ACC__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_ACC,24,ShrinkageLDA,792,6065,480,4.167983900000763,success,0.8541666666666666,0.8541666666666666,0.8947262197253039,0.8541666666666666,0.8445382794558844,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold02,2,win0p25s_50ov__full_segment__EMG_ACC__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_ACC,24,ShrinkageLDA,792,6065,480,4.141598299998805,success,0.7479166666666667,0.7479166666666666,0.7725594149269794,0.7479166666666666,0.7304109631882341,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold03,3,win0p25s_50ov__full_segment__EMG_ACC__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_ACC,24,ShrinkageLDA,792,6065,480,4.337705699999788,success,0.7895833333333333,0.7895833333333333,0.8957613814756673,0.7895833333333333,0.7281439296392318,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold04,4,win0p25s_50ov__full_segment__EMG_ACC__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_ACC,24,ShrinkageLDA,792,6065,480,3.9852528999999777,success,0.8208333333333333,0.8208333333333334,0.9040154923961954,0.8208333333333334,0.7753277384713173,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold05,5,win0p25s_50ov__full_segment__EMG_ACC__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_ACC,24,ShrinkageLDA,792,6065,480,4.248759000000064,success,0.8020833333333334,0.8020833333333333,0.8334945054945055,0.8020833333333333,0.7746854538144501,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold06,6,win0p25s_50ov__full_segment__EMG_ACC__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_ACC,24,ShrinkageLDA,792,6065,480,4.014510499999233,success,0.9083333333333333,0.9083333333333332,0.9329281712685074,0.9083333333333332,0.9032887190425406,1.0,1.0,1.0,1.0,1.0
feature_screen_with_shrinkage_lda,1,S01_personal_fold07,7,win0p25s_50ov__full_segment__EMG_ACC__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_ACC,24,ShrinkageLDA,792,2880,3665,2.344740799999272,success,0.6120054570259209,0.6203284341050791,0.735522931271596,0.6203284341050791,0.6172154857420051,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold08,8,win0p25s_50ov__full_segment__EMG_ACC__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_ACC,24,ShrinkageLDA,792,2880,480,2.319586800000252,success,0.8458333333333333,0.8458333333333332,0.9091713793951316,0.8458333333333332,0.8214495947115763,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold01,1,win0p25s_50ov__full_segment__EMG_IMU__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_IMU,42,ShrinkageLDA,1386,6065,480,16.015313400001105,success,0.85625,0.85625,0.8963692581014367,0.85625,0.8443721149167001,0.8,0.8,0.7,0.8,0.7333333333333333
feature_screen_with_shrinkage_lda,1,S01_personal_fold02,2,win0p25s_50ov__full_segment__EMG_IMU__ShrinkageLDA,win0p25s_50ov,0.25,315,157,full_segment,0.0,0.0,EMG_IMU,42,ShrinkageLDA,1386,6065,480,16.3054886000009,success,0.7458333333333333,0.7458333333333333,0.7841873124478742,0.7458333333333333,0.734941368244203,0.8,0.8,0.7,0.8,0.7333333333333333
