subject_id,fold_id,fold_index,selected_candidate_id,window_config_id,window_length_sec,window_length,step_samples,trim_config_id,trim_start_fraction,trim_end_fraction,modality,channel_count,model_type,feature_dim,validation_selected_segment_macro_f1,train_segment_count,validation_segment_count,test_segment_count,final_fit_scope,final_fit_seconds,test_window_accuracy,test_window_balanced_accuracy,test_window_macro_precision,test_window_macro_recall,test_window_macro_f1,test_segment_accuracy,test_segment_balanced_accuracy,test_segment_macro_precision,test_segment_macro_recall,test_segment_macro_f1
1,S01_personal_fold01,1,win0p5s_50ov__trim20_each_end__EMG_IMU__ShrinkageLDA,win0p5s_50ov,0.5,630,315,trim20_each_end,0.2,0.2,EMG_IMU,42,ShrinkageLDA,1386,1.0,30,5,5,train_plus_validation_after_config_selection,6.862362399999256,0.9428571428571428,0.9428571428571428,0.9444111405835545,0.9428571428571428,0.9419279855824048,1.0,1.0,1.0,1.0,1.0
1,S01_personal_fold02,2,win1p0s_50ov__full_segment__EMG__ShrinkageLDA,win1p0s_50ov,1.0,1260,630,full_segment,0.0,0.0,EMG,6,ShrinkageLDA,198,0.7333333333333333,30,5,5,train_plus_validation_after_config_selection,0.10105879999900935,0.9391304347826087,0.9391304347826088,0.9406190476190476,0.9391304347826088,0.9390275091338921,1.0,1.0,1.0,1.0,1.0
1,S01_personal_fold03,3,win1p0s_50ov__full_segment__EMG_ACC__RBF-SVM,win1p0s_50ov,1.0,1260,630,full_segment,0.0,0.0,EMG_ACC,24,RBF-SVM,792,0.7333333333333333,30,5,5,train_plus_validation_after_config_selection,5.028555900000356,0.7913043478260869,0.7913043478260869,0.8416666666666668,0.7913043478260869,0.7789027414284793,0.8,0.8,0.7,0.8,0.7333333333333333
1,S01_personal_fold04,4,win0p25s_50ov__trim20_each_end__EMG__ShrinkageLDA,win0p25s_50ov,0.25,315,157,trim20_each_end,0.2,0.2,EMG,6,ShrinkageLDA,198,0.7333333333333333,30,5,5,train_plus_validation_after_config_selection,0.19229689999883703,0.6912280701754386,0.6912280701754386,0.6757183908045977,0.6912280701754386,0.63699491020539,0.6,0.6,0.4666666666666666,0.6,0.5
1,S01_personal_fold05,5,win1p0s_50ov__trim10_each_end__EMG_IMU__RandomForest,win1p0s_50ov,1.0,1260,630,trim10_each_end,0.1,0.1,EMG_IMU,42,RandomForest,1386,1.0,30,5,5,train_plus_validation_after_config_selection,1.672732900000483,0.8210526315789474,0.8210526315789473,0.8927170868347339,0.8210526315789473,0.7714914645103323,0.8,0.8,0.7,0.8,0.7333333333333333
1,S01_personal_fold06,6,win1p0s_50ov__trim10_each_end__EMG__RBF-SVM,win1p0s_50ov,1.0,1260,630,trim10_each_end,0.1,0.1,EMG,6,RBF-SVM,198,1.0,30,5,5,train_plus_validation_after_config_selection,0.6106424999998126,0.8526315789473684,0.8526315789473685,0.9151515151515153,0.8526315789473685,0.8294871794871795,0.8,0.8,0.7,0.8,0.7333333333333333
1,S01_personal_fold07,7,win0p5s_50ov__trim20_each_end__EMG__ShrinkageLDA,win0p5s_50ov,0.5,630,315,trim20_each_end,0.2,0.2,EMG,6,ShrinkageLDA,198,0.7333333333333333,30,5,5,train_plus_validation_after_config_selection,0.09594140000081097,0.9857142857142858,0.9857142857142858,0.9866666666666667,0.9857142857142858,0.9856960408684546,1.0,1.0,1.0,1.0,1.0
1,S01_personal_fold08,8,win0p5s_50ov__trim10_each_end__EMG__ShrinkageLDA,win0p5s_50ov,0.5,630,315,trim10_each_end,0.1,0.1,EMG,6,ShrinkageLDA,198,1.0,30,5,5,train_plus_validation_after_config_selection,0.08419510000021546,0.7547945205479452,0.7635318162313068,0.8203905556533868,0.7635318162313068,0.749657442850099,0.8,0.8,0.7,0.8,0.7333333333333333
2,S02_personal_fold01,1,win1p0s_50ov__trim10_each_end__EMG__ShrinkageLDA,win1p0s_50ov,1.0,1260,630,trim10_each_end,0.1,0.1,EMG,6,ShrinkageLDA,198,1.0,30,5,5,train_plus_validation_after_config_selection,0.092573200001425,0.9473684210526315,0.9473684210526315,0.9583333333333333,0.9473684210526315,0.9464411557434813,1.0,1.0,1.0,1.0,1.0
2,S02_personal_fold02,2,win1p0s_50ov__trim20_each_end__EMG_IMU__ShrinkageLDA,win1p0s_50ov,1.0,1260,630,trim20_each_end,0.2,0.2,EMG_IMU,42,ShrinkageLDA,1386,1.0,30,5,5,train_plus_validation_after_config_selection,5.676897200000894,0.9857142857142858,0.9857142857142858,0.9866666666666667,0.9857142857142858,0.9856960408684546,1.0,1.0,1.0,1.0,1.0
