trial_index,subject_id,task_protocol,input_mode,evaluation_mode,fold_index,held_out_condition,block_index,sequence_number,condition_order,condition_id,sequence_trial_index,target_count,from_target_index,to_target_index,model_sha256,dataset_sha256,split_manifest_sha256,provenance_valid,provenance_errors,input_segment_ids,input_source_files,input_sample_ranges,stream_instance_ids,replay_wrap_count,distance_config_m,distance_center_m,distance_actual_m,target_width_m,effective_stop_radius_m,index_of_difficulty_bits,timing_clock,selection_made,hit,miss,timeout,success,movement_time_s,confirmation_time_s,selection_confirmation_delay_s,wall_movement_time_s,observed_real_time_factor,throughput_bits_per_s,classification_errors,direction_errors,prediction_count,classification_accuracy,mean_inference_ms,p95_inference_ms,mean_control_latency_ms,p95_control_latency_ms,path_length_m,direction_switches,endpoint_radial_error_m,endpoint_axis_error_m,endpoint_orthogonal_error_m,effective_amplitude_m,start_target_x,start_target_y,start_x,start_y,target_x,target_y,first_selection_x,first_selection_y,confirmed_end_x,confirmed_end_y,end_x,end_y,timestamp
1,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,1,1,FORMAL_A180_W060,1,7,0,3,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"": [132, 196], ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"": [265, 287], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [551, 552]}","[23, 24, 25, 26]",0,0.18,0.18000000000000002,0.15684876749032553,0.06,0.027,2.0,ros_time,1,1,0,0,1,14.488,14.736,0.248,28.315644093,0.5204190288450099,0.13804527885146328,10,10,59,0.8305084745762712,5.553184949152542,11.363928,25.2,48.0,0.24141240065828976,6,0.026416195344983597,-0.026007440834292486,-0.0046290817399468115,0.13048103507601588,-0.11661364861617046,0.4492600889647722,-0.12174054981690921,0.42397374048182496,-0.07655988050403387,0.27377306477204394,-0.08686010152433957,0.29809837717367993,-0.08686010152622071,0.29809837716339566,-0.08686010152433957,0.29809837717367993,2026-07-27T20:12:05
2,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,1,1,FORMAL_A180_W060,2,7,3,6,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"", ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"", ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"": [423, 442], ""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"": [72, 90], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [493, 494]}","[27, 28, 29]",0,0.18,0.18,0.15472323473668256,0.06,0.027,2.0,ros_time,1,1,0,0,1,9.972,10.22,0.248,22.327577262,0.4577299131058764,0.20056157240272765,0,0,41,1.0,6.311700097560975,12.032437999999999,26.634146341463413,40.0,0.18398995253388392,1,0.026704422211278785,-0.02321566792349861,-0.013196928752709,0.13134395427715945,-0.07655988050403387,0.27377306477204394,-0.08686010153000066,0.2980983771433559,-0.1887880448386059,0.4145027316162893,-0.16399553827421015,0.40458014204034526,-0.16456089971315824,0.4045799410668277,-0.16399553827421015,0.40458014204034526,2026-07-27T20:12:26
3,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,1,1,FORMAL_A180_W060,3,7,6,2,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"": [224, 335], ""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"": [173, 195], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [497, 498]}","[30, 31, 32, 33]",1,0.18,0.18,0.1538747853828865,0.06,0.027,2.0,ros_time,1,1,0,0,1,16.992,17.236,0.244,35.241996617,0.489075581821199,0.11770244821092278,20,20,69,0.7101449275362319,5.922754463768116,11.03271,25.333333333333332,44.0,0.3282237029782406,4,0.02604599225775242,-0.01830806556560657,0.018525885888031106,0.13555869344263782,-0.1887880448386059,0.4145027316162893,-0.16456089971188598,0.40457994104759126,-0.026613648616170466,0.3364036585751288,-0.03507056508273414,0.3610384769541724,-0.03507056512243929,0.3610383387803401,-0.03507056508273414,0.3610384769541724,2026-07-27T20:13:00
4,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,1,1,FORMAL_A180_W060,4,7,2,5,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"", ""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"", ""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"": [50, 83], ""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"": [137, 137], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [458, 459]}","[34, 35, 36]",0,0.18,0.18,0.17330290522733785,0.06,0.027,2.0,ros_time,1,1,0,0,1,8.968,9.22,0.252,19.496037576,0.47291661005772784,0.22301516503122212,0,0,37,1.0,6.127704162162162,10.516999,24.324324324324323,52.0,0.16051099894492163,1,0.026207666687458456,-0.012491362712432369,-0.023039263243154584,0.1590517207749561,-0.026613648616170466,0.3364036585751288,-0.035070565128782,0.36103833876129166,-0.20661364861617046,0.3364036585751288,-0.1941222859037381,0.3594429218182834,-0.19412228590245928,0.35944292181051263,-0.1941222859037381,0.3594429218182834,2026-07-27T20:13:21
5,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,1,1,FORMAL_A180_W060,5,7,5,1,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"": [286, 313], ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"": [435, 443], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [455, 456]}","[37, 38, 39]",0,0.18,0.18000000000000002,0.159488536194218,0.06,0.027,2.0,ros_time,1,1,0,0,1,9.488,9.748,0.26,20.3863989,0.4781619376632525,0.21079258010118046,0,0,39,1.0,5.783929051282051,11.483021,25.435897435897434,44.0,0.1719851727000167,1,0.02640073259197686,-0.018248692208057013,-0.01907836245825801,0.14050061719553666,-0.20661364861617046,0.3364036585751288,-0.1941222858993479,0.359442921791591,-0.044439252393735015,0.4145027316162893,-0.052602964713498804,0.38939591018160336,-0.05260305104379136,0.38997115892534917,-0.052602964713498804,0.38939591018160336,2026-07-27T20:13:40
6,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,1,1,FORMAL_A180_W060,6,7,1,4,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"", ""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"", ""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"": [112, 223], ""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"": [0, 111], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [518, 519]}","[40, 41, 42, 43, 45]",1,0.18,0.18000000000000002,0.15598522136610224,0.06,0.027,2.0,ros_time,1,1,0,0,1,12.22,12.468,0.248,26.066735477,0.47831075782393795,0.1636661211129296,4,5,50,0.92,5.77309696,10.849699000000001,27.84,56.0,0.21378402655412598,4,0.02653985671990371,-0.025961575300784485,-0.005510045609132014,0.1297688236339601,-0.044439252393735015,0.4145027316162893,-0.052603051048760216,0.3899711589059215,-0.15666741672830706,0.27377306477204394,-0.1447885664151345,0.29750609892173197,-0.14478856641485155,0.2975060989113838,-0.1447885664151345,0.29750609892173197,2026-07-27T20:14:06
7,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,1,1,FORMAL_A180_W060,7,7,4,0,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"": [354, 384], ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"": [308, 309], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [526, 528]}","[46, 47, 48]",0,0.18,0.18000000000000002,0.1543473339461516,0.06,0.027,2.0,ros_time,1,1,0,0,1,8.692,8.94,0.248,18.108958852,0.4936782988499995,0.23009664058904739,1,1,36,0.9722222222222222,4.667745777777778,7.639369,30.054054054054053,52.0,0.1451590393236087,1,0.02622689372855291,-0.015774218644519944,0.02095289910259884,0.13844449108608364,-0.15666741672830706,0.27377306477204394,-0.1447885664142896,0.2975060988908566,-0.11661364861617046,0.4492600889647722,-0.14055130865763324,0.4385438215927735,-0.14055130865764567,0.43854382158566374,-0.14055130865763324,0.4385438215927735,2026-07-27T20:14:25
8,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,2,2,FORMAL_A080_W060,1,7,0,3,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"", ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_down_v1_Plot_and_Store_Rep_1.9.hpf"": [112, 223], ""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"": [231, 247], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [497, 498]}","[49, 50, 51, 52, 53]",1,0.08,0.08,0.07917383856758005,0.06,0.027,1.222392421336448,ros_time,1,1,0,0,1,9.72,9.976,0.256,19.920163147,0.5007991112513753,0.1257605371745317,9,9,40,0.775,5.410158675,7.771175,27.9,52.0,0.14245227415610684,3,0.02614638897272699,-0.025718105079439602,-0.004713038026161297,0.04916093715540289,-0.11661364861617046,0.4492600889647722,-0.14055130865774187,0.4385438215322851,-0.09881197389966531,0.3712658559902263,-0.10912966298440782,0.3952904048572441,-0.10912966298524718,0.3952904048475402,-0.10912966298440782,0.3952904048572441,2026-07-27T20:14:46
9,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,2,2,FORMAL_A080_W060,2,7,3,6,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"", ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"", ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_close_v1_Plot_and_Store_Rep_1.6.hpf"": [100, 107], ""dynamic/hands_up_v1_Plot_and_Store_Rep_1.8.hpf"": [411, 415], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [535, 536]}","[54, 55, 56]",0,0.08,0.07999999999999999,0.055218240153254834,0.06,0.027,1.222392421336448,ros_time,1,1,0,0,1,3.468,3.716,0.248,7.269097938,0.5112051084872865,0.35247763014315114,0,0,15,1.0,5.155535333333333,10.673783,34.666666666666664,64.0,0.042956140994424075,1,0.02633617591712331,-0.025568692343693758,0.006311587262424739,0.029215185097791023,-0.09881197389966531,0.3712658559902263,-0.109129662986891,0.3952904048285355,-0.148691158048364,0.4338123745876687,-0.13768393675131532,0.40988675565616634,-0.1376839367513701,0.4098867556283321,-0.13768393675131532,0.40988675565616634,2026-07-27T20:14:54
10,1,short_multidirectional_EMG_robot_v4_adaptive_control,heldout_replay_autopilot,1,1,dynamic,1,2,2,FORMAL_A080_W060,3,7,6,2,600772057b82e9959c9aeb7b3b7837360aa53515630d0b85f76eac28e15c0b72,a74323189f537088b6296b94bab737582d2c5d3ef8ef6554eed6ae5a46110a2d,8fe8c76a91d44a492e212c1fd2afdfed2006048f61d6d1346c935e9a8664253f,1,0,"[""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","[""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"", ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf""]","{""dynamic/hands_open_v1_Plot_and_Store_Rep_1.7.hpf"": [309, 319], ""dynamic/rest_v1_Plot_and_Store_Rep_1.5.hpf"": [469, 470]}","[57, 58]",0,0.08,0.07999999999999999,0.06201530493999784,0.06,0.027,1.222392421336448,ros_time,1,1,0,0,1,2.984,3.236,0.252,6.488747822,0.4987094719613532,0.40964893476422526,0,0,13,1.0,5.345683692307692,9.346402999999999,29.846153846153847,64.0,0.03749126738353032,0,0.025921844669858356,-0.025916466516930643,-0.0005280098153226144,0.03378543274953396,-0.148691158048364,0.4338123745876687,-0.13768393675150123,0.40988675560950066,-0.07661364861617045,0.3991016754582641,-0.10019267298692336,0.40987068844979235,-0.10019267296227796,0.409870688440427,-0.10019267298692336,0.40987068844979235,2026-07-27T20:15:00
