epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,1.1359932133129664,1.4375670637403215,0.4160714285714286,0.2840206577048682,0.001
2,0.4245140603610447,2.0878529718944003,0.4,0.29568350959655304,0.001
3,0.10865793664540563,2.6435365357569287,0.4,0.3,0.001
4,0.03698224334844521,3.043063521172319,0.4,0.29676185594448334,0.001
5,0.017420979642442293,3.2335394778421946,0.4,0.2925816596245491,0.001
6,0.01177610983805997,3.564856425140585,0.4017857142857143,0.3193664630121103,0.001
7,0.008051115886441298,3.6532439012612614,0.4,0.3180375593576252,0.001
8,0.0063015662931970185,3.832174149155617,0.4017857142857143,0.327391677046656,0.001
9,0.0058177285029419835,3.969991486413138,0.4035714285714286,0.3260569359009712,0.001
10,0.004998502654156515,4.194019512619291,0.40714285714285714,0.3323840320931062,0.001
11,0.003421377097921712,4.278940743846553,0.40535714285714286,0.33100852960530397,0.001
12,0.002695623319596052,4.500543309961047,0.40714285714285714,0.33490804315363054,0.001
13,0.00286490666746561,4.337927441937583,0.4035714285714286,0.3279508981169955,0.001
14,0.002265834016725421,4.597013926080295,0.4017857142857143,0.32394911337177906,0.001
15,0.0024248363051031317,4.755181705525943,0.40535714285714286,0.33293419441177474,0.001
16,0.0018312256251062666,5.024641882521766,0.4232142857142857,0.3453776506771037,0.001
17,0.0014464241352730564,4.873646647589547,0.4089285714285714,0.33243860269183373,0.001
18,0.0012512287457606623,4.90224712980645,0.40535714285714286,0.33293419441177474,0.001
19,0.0011949961971757666,4.974701551880155,0.4125,0.3340050161478733,0.001
20,0.0016427943033964507,5.136344498821667,0.4107142857142857,0.33292985197620395,0.0005
21,0.0008546265690321369,5.156553761873926,0.4125,0.3352180507846703,0.0005
22,0.0009863411275936025,4.962128901481629,0.40535714285714286,0.32737703231117515,0.0005
23,0.0009386977081054024,5.121154906920024,0.40535714285714286,0.32820284668826666,0.0005
24,0.0008821057039313018,5.272064686353717,0.4035714285714286,0.32958390122354475,0.00025
25,0.0007990388640402151,5.258811846375465,0.4035714285714286,0.32958390122354475,0.00025
26,0.0011799654624025737,5.123622579233987,0.4017857142857143,0.3251275448516159,0.00025
